"","job","marital","education","balance","housing","loan","month","campaign","pdays","previous","poutcome","y"
"1","unemployed","married","primary",1787,"no","no","oct",1,-1,0,"nonexistent","no"
"2","services","married","secondary",4789,"yes","yes","may",1,339,4,"failure","no"
"3","management","single","tertiary",1350,"yes","no","apr",1,330,1,"failure","no"
"4","management","married","tertiary",1476,"yes","yes","jun",4,-1,0,"nonexistent","no"
"5","blue-collar","married","secondary",0,"yes","no","may",1,-1,0,"nonexistent","no"
"6","management","single","tertiary",747,"no","no","feb",2,176,3,"failure","no"
"7","self-employed","married","tertiary",307,"yes","no","may",1,330,2,"nonexistent","no"
"8","technician","married","secondary",147,"yes","no","may",2,-1,0,"nonexistent","no"
"9","entrepreneur","married","tertiary",221,"yes","no","may",2,-1,0,"nonexistent","no"
"10","services","married","primary",-88,"yes","yes","apr",1,147,2,"failure","no"
"11","services","married","secondary",9374,"yes","no","may",1,-1,0,"nonexistent","no"
"12","admin.","married","secondary",264,"yes","no","apr",2,-1,0,"nonexistent","no"
"13","technician","married","tertiary",1109,"no","no","aug",2,-1,0,"nonexistent","no"
"14","student","single","secondary",502,"no","no","apr",1,-1,0,"nonexistent","yes"
"15","blue-collar","married","secondary",360,"yes","yes","jan",1,241,1,"failure","no"
"16","management","married","tertiary",194,"no","yes","aug",2,-1,0,"nonexistent","no"
"17","technician","married","secondary",4073,"no","no","aug",5,-1,0,"nonexistent","no"
"18","admin.","single","tertiary",2317,"yes","no","apr",1,152,2,"failure","no"
"19","blue-collar","single","primary",-221,"yes","no","may",1,-1,0,"nonexistent","no"
"20","services","married","secondary",132,"no","no","jul",1,152,1,"nonexistent","no"
"22","management","divorced","tertiary",16,"no","no","nov",3,-1,0,"nonexistent","no"
"23","services","single","secondary",106,"no","no","jun",2,-1,0,"nonexistent","no"
"24","entrepreneur","married","secondary",93,"no","no","jul",2,-1,0,"nonexistent","no"
"25","housemaid","married","tertiary",543,"no","no","jan",3,-1,0,"nonexistent","no"
"26","management","married","tertiary",5883,"no","no","nov",2,-1,0,"nonexistent","no"
"27","blue-collar","married","primary",627,"yes","no","may",1,-1,0,"nonexistent","no"
"29","self-employed","married","secondary",784,"no","yes","jul",2,-1,0,"nonexistent","no"
"30","admin.","married","secondary",105,"no","yes","aug",2,-1,0,"nonexistent","no"
"31","retired","divorced","secondary",4189,"no","no","jul",2,-1,0,"nonexistent","yes"
"32","technician","married","secondary",171,"no","no","aug",3,-1,0,"nonexistent","no"
"33","management","married","secondary",42,"no","no","nov",1,-1,0,"nonexistent","no"
"34","management","single","tertiary",2536,"yes","no","aug",6,-1,0,"nonexistent","yes"
"35","technician","married","tertiary",1235,"no","no","aug",3,-1,0,"nonexistent","yes"
"36","admin.","divorced","secondary",1811,"yes","no","may",1,-1,0,"nonexistent","no"
"37","retired","divorced","primary",229,"no","no","oct",1,-1,0,"nonexistent","yes"
"38","blue-collar","married","secondary",2089,"yes","no","nov",1,-1,0,"nonexistent","yes"
"39","management","married","secondary",3935,"yes","no","may",1,342,2,"failure","yes"
"40","services","single","tertiary",363,"yes","no","may",18,-1,0,"nonexistent","no"
"41","management","single","tertiary",11971,"yes","no","nov",2,101,3,"failure","no"
"42","management","single","tertiary",553,"no","no","aug",2,-1,0,"nonexistent","no"
"43","blue-collar","married","secondary",1117,"yes","no","may",1,-1,0,"nonexistent","no"
"44","technician","married","tertiary",396,"yes","no","may",3,-1,0,"nonexistent","no"
"45","technician","single","tertiary",2204,"yes","no","nov",4,-1,0,"nonexistent","no"
"46","management","single","tertiary",872,"yes","no","may",2,-1,0,"nonexistent","no"
"47","blue-collar","married","primary",145,"no","no","feb",3,5,2,"nonexistent","no"
"48","blue-collar","married","primary",0,"yes","no","may",1,-1,0,"nonexistent","no"
"49","entrepreneur","single","primary",-849,"yes","yes","feb",1,-1,0,"nonexistent","no"
"51","blue-collar","divorced","primary",844,"no","no","jun",3,-1,0,"nonexistent","yes"
"52","technician","single","secondary",228,"yes","no","aug",2,-1,0,"nonexistent","no"
"53","technician","single","secondary",50,"no","no","aug",2,-1,0,"nonexistent","no"
"54","technician","married","tertiary",1539,"yes","no","jun",1,56,1,"nonexistent","yes"
"55","blue-collar","married","secondary",2231,"yes","no","jul",3,-1,0,"nonexistent","no"
"56","admin.","married","secondary",3064,"yes","no","jul",2,-1,0,"nonexistent","no"
"57","management","married","secondary",82,"no","yes","feb",1,-1,0,"nonexistent","no"
"58","self-employed","single","tertiary",2155,"no","no","nov",1,-1,0,"nonexistent","no"
"59","retired","single","secondary",101,"yes","yes","may",1,-1,0,"nonexistent","no"
"60","technician","divorced","secondary",784,"yes","yes","may",1,-1,0,"nonexistent","no"
"61","blue-collar","married","primary",-516,"no","yes","jul",3,-1,0,"nonexistent","no"
"62","retired","married","secondary",415,"yes","no","oct",1,-1,0,"nonexistent","no"
"63","management","married","tertiary",5887,"no","no","aug",2,-1,0,"nonexistent","no"
"64","services","married","secondary",1355,"no","no","jul",2,-1,0,"nonexistent","no"
"65","admin.","married","secondary",16873,"no","no","oct",1,-1,0,"nonexistent","no"
"66","blue-collar","divorced","secondary",203,"yes","no","may",1,170,5,"failure","no"
"67","services","married","secondary",338,"yes","no","jan",1,-1,0,"nonexistent","no"
"68","technician","married","secondary",444,"yes","no","jul",4,-1,0,"nonexistent","no"
"69","management","married","secondary",0,"no","yes","jul",3,-1,0,"nonexistent","no"
"70","technician","single","tertiary",360,"no","no","nov",2,-1,0,"nonexistent","no"
"71","management","married","tertiary",0,"no","no","jul",2,182,3,"success","yes"
"72","entrepreneur","divorced","tertiary",2,"yes","no","may",1,-1,0,"nonexistent","no"
"73","management","single","tertiary",6248,"yes","no","may",2,-1,0,"nonexistent","no"
"74","services","married","tertiary",412,"yes","no","jun",5,-1,0,"nonexistent","no"
